EmpID,Date_of_Joining,Quarter_of_Joining,Half_of_Joining,Year_of_Joining,Month_of_Joining,Month_Name_of_Joining,Short_Month,Day_of_Joining,DOW_of_Joining,Short_DOW,Age_in_Company_in_Years,Salary,Last_Hike,NID,PhoneNo ,PlaceName,County,City,State,Zip,Region,UserName,Password,batch_id,Data_extraction_date
677509,11/24/03,Q4,H2,2003,11,November,Nov,24,Monday,Mon,13.68,168251,21%,29703190101231,1201443035,Denver,Denver,Denver,CO,80224,West,lhwalker,DCa}.T}X:v?NP,12345,11/24/03
940761,7/27/08,Q3,H2,2008,7,July,Jul,27,Sunday,Sun,9.01,51063,27%,29703190201231,1200000000,Stonewall,De Soto,Stonewall,LA,71078,South,bsrobinson,TCo\j#Zg;SQ~o,12345,11/24/04
428945,8/3/16,Q3,H2,2016,8,August,Aug,3,Wednesday,Wed,0.98,50155,16%,30105190103537,1202675985,Michigantown,Clinton,Michigantown,IN,46057,Midwest,jwrobinson,GO4$J8MiEh[A,12345,11/24/05
408351,4/16/99,Q2,H1,1999,4,April,Apr,16,Friday,Fri,18.3,180294,1%,28205040100373,1550069489,Hydetown,Crawford,Hydetown,PA,16328,Northeast,dievans,0gGRtp1HfL<r5,12345,11/24/06
193819,7/25/13,Q3,H2,2013,7,July,Jul,25,Thursday,Thu,4.01,117642,13%,29011110100591,1221533362,Fremont,Waupaca,Fremont,WI,54940,Midwest,brrussell,Rd<Y8cp!@R;*%F,12345,11/24/07
499687,7/22/05,Q3,H2,2005,7,July,Jul,22,Friday,Fri,12.02,72305,5%,29003250100688,1223199495,Macksburg,Madison,Macksburg,IA,50155,Midwest,pfbailey,K7&5aY/*,12345,11/24/08
539712,9/14/16,Q3,H2,2016,9,September,Sep,14,Wednesday,Wed,0.87,98189,0%,26510280100681,1226687665,Atlanta,Fulton,Atlanta,GA,30334,South,ntbaker,xJdKlAcYQhT_BE#,12345,11/24/09
380086,1/28/83,Q1,H1,1983,1,January,Jan,28,Friday,Fri,34.52,60918,20%,27410300105268,1223640903,Blanchester,Clinton,Blanchester,OH,45107,Midwest,cvmurphy,Uc+VG%vuZU<k,12345,11/24/10
477616,4/27/94,Q2,H1,1994,4,April,Apr,27,Wednesday,Wed,23.27,121587,28%,26107010100892,1222642664,Delmita,Starr,Delmita,TX,78536,South,fbyoung,K}^USc0l7[A,12345,11/24/11
162402,2/17/14,Q1,H1,2014,2,February,Feb,17,Monday,Mon,3.44,43010,4%,29207280100032,1003573452,Eureka Springs,Carroll,Eureka Springs,AR,72632,South,dtpeterson,3o8>v&tYxjyEAo,12345,11/24/12
231469,4/14/09,Q2,H1,2009,4,April,Apr,14,Tuesday,Tue,8.29,118457,8%,26904100100074,1226482539,Sabetha,Nemaha,Sabetha,KS,66534,Midwest,rlflores,7tP\LrSr}\qTqj,12345,11/24/13
153989,1/5/17,Q1,H1,2017,1,January,Jan,5,Thursday,Thu,0.56,82965,23%,28101200101118,1008768283,Las Vegas,Clark,Las Vegas,NV,89170,West,jcalexander,9L*-O1U.9mSUSh,12345,11/24/14
